Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
буй	are	 	жин нь гэрээнд заасан буйтай нийцэж буй	the weight is in accordance with the contract	<p>жин нь гэрээнд заасан буйтай нийцэж буй: the weight is in accordance with the contract</p>	[sound:16960.mp3]	17823	16960
л	me					[sound:53960.mp3]	15841	53960
аж	agro-industrialize					[sound:2286.mp3]	15343	2286
д	for					[sound:28568.mp3]	14135	28568
гэсэн	off					[sound:28327.mp3]	13205	28327
ийн	of	"Ийн тийн ярилцсаар, ламын ертөнцийг сайшаах сэтгэл нь улам нэмэгдэж, нэг үдшийн зуур Дүйнхорын аймаг дахь дөрвөн ханатай гэр ба хэдэн гүнгэрваатай бурхнаа мартжээ.
Базар түүнийг үзээд нүдээ бүлтийлгэн царай хувилж налж сууснаа босож суугаад ийн хэлнэ.
“Ийн” гэж монгол бичигт эгшгээр төгссөн үгэнд “уун” гэж Н-ээс бусад гийгүүлэгчээр төгссөн үгэнд залгадаг харьяалахын тийн ялгалын нөхцөлөөс үүссэн.
Ярианы хэлэнд “ийн уун үгүй чээжил, ийн уун үгүй хуулан бичээд ир” гэх зэргээр хэлдэг."				[sound:51764.mp3]	12691	51764
дарга	chief	"Уржнангаас орлогч хийж байгаад энэ жил дарга болох нь тэр дээ.
Даалгавар бол биелэх боломжтой л байвал зохино гэдгийг ч үйлдвэрийн дарга хүн юу эс андах билээ.
Ялангуяа үйлдвэрчний хорооны дарга эмэгтэй угаасаа ч шазруу хүн. 
Сумын нарийн бичгийн дарга Тавхай гэрт орж ирэв.
- Тэр гурван хүн бол намын хорооны дарга Гончиг, дотоодыг хамгаалахын дарга Намжил, тусгай төлөөлөгч гурав байв.
- Дарга даамлын ажлыг бүгдийг нь хийж явсан.
- Мянган хошууны дарга ноёны сууринаа болгов.
- Таван зуун цэргийн дарга түшмэл Асурь хэмээгчийг Горлодын улсаас алба хөөлгөхөөр илгээв.
Олон сайд дарга нар тэдний дотор маршал Чойбалсан биеэр ирсэн байв."	шоронгийн дарга	the governor of a prison	<p>цагдаагийн газрын дарга: the chief of police</p><p>хэлтсийн дарга: head of department</p><p>шоронгийн дарга: the governor of a prison</p>	[sound:32163.mp3]	12117	32163
эрүүл	healthy	"Жаргалыг хүсвэл эрүүлийг хүс, эрүүлийг хүсвэл эмнэлгийг 
Эрүүл мэндийн даатгал нь сайн дурын, албан журмын, холимог гэсэн гурван хэлбэртэй байдаг
Эрүүл саруул болоод ажилдаа явна гэдэг нь ... юутай ч зүйрлэшгүй сайхан байв.
Биеийн зохицол байдал эрүүл чийрэг, цовоо сэргэлэн болохыг үргэлж таашаан хардаг.
 Та нар ... хойчийн өдөр эрүүл энх учралдан золгох болтугай.
эрүүл саруул явсан цагт эрүү өвдөг нийлсэн ч мэнд"	эрүүл мэндэд таарах уур амьсгал	salubrious climate	<p>эрүүл мэндэд таатай уур амьсгал: a healthy climate</p><p>эрүүл байлгах хоолны дэглэм: a healthy diet</p><p>эрүүл аж төрөх ёс: healthy lifestyle</p><p>эрүүл мэндээ золиослон ажиллах: to work at the cost of one's health</p><p>эрүүл мэндийн анхан шатны тусламж: primary health care</p><p>эрүүл мэндээ алдах: to forfeit one's health</p><p>эв эрүүл: as sound as a bell</p><p>эрүүл биед саруул ухаан: sound mind in a sound body</p><p>эрүүл биед саруул ухаантай байх: to have a sound mind in a sound body</p><p>асуудлыг эрүүл саруул байдлаар шийдэх: a sober solution to the problem</p><p>эрүүл мэндэд таарах уур амьсгал: salubrious climate</p>	[sound:137087.mp3]	11855	137087
нийт	total	"Нийт нь нэгийн төлөө, нэг нь нийтийн төлөө гэсэн уриан дор ажиллацгаана.
Эзэн хөвгүүн чи нийт бүгдийг төрсөнд мэт өршөө."	нийтийн хэв журам гажуудуулах	to violate public order	<p>Тооцоолсон нийт зардал: Estimated total costs</p><p>нийт мужийн хуваарь: total permanent establishment</p><p>Тооцогдсон олборловол зохих нийт нөөц: Total estimated units available</p><p>нийт ашгийн коэффициент: gross profit ratio</p><p>нийт гарз: gross loss</p><p>нийт бүтээгдэхүүн: gross out put</p><p>нийт өрийн хэмжээ: aggregate amount of indebtedness</p><p>нийт оноо: the aggregate score</p><p>нийт оюутнуудын төлөө: for the sake of all students</p><p>нийт оюутнууд: all students</p><p>онгоцны нийт жин: all-up weight</p><p>нийтийн баярыг олон нийтэд зарлах: to prochlaim a public holiday</p><p>нийтийн телефон утасны холболтын сүлжээ: public switched telephone network</p><p>нийтийн хэв журам гажуудуулах: to violate public order</p>	[sound:62365.mp3]	11825	62365
талаар	concerning	"Хайран 
Чи ингээд гунигт дарагдаад явбал бүх зорилго талаар өнгөрөх болно. "				[sound:83938.mp3]	11066	83938
